GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
inventory-management,com.inventory.dto.request,CategoryRequest,11,74,7,7,0,5,6,10,0,9
inventory-management,com.inventory.dto.request,SKURequest.SKURequestBuilder,12,42,0,0,0,1,1,7,1,7
inventory-management,com.inventory.dto.request,ProductRequest,54,146,27,13,6,7,20,14,1,13
inventory-management,com.inventory.dto.request,SKURequest,59,198,27,19,0,9,27,13,5,12
inventory-management,com.inventory.dto.request,ProductRequest.ProductRequestBuilder,8,28,0,0,0,1,1,5,1,5
inventory-management,com.inventory.dto.request,CategoryRequest.CategoryRequestBuilder,4,14,0,0,0,1,1,3,1,3
inventory-management,com.inventory.config,OpenApiConfig,0,33,0,0,0,12,0,2,0,2
inventory-management,com.inventory.validation,PriceValidator,0,20,0,6,0,6,0,6,0,3
inventory-management,com.inventory.validation,ProductNameValidator,0,32,4,8,0,9,4,5,0,3
inventory-management,com.inventory.service.impl,CategoryServiceImpl,14,137,3,5,2,30,3,10,0,9
inventory-management,com.inventory.service.impl,ProductServiceImpl,37,88,0,0,6,14,1,6,1,6
inventory-management,com.inventory.service.impl,SKUServiceImpl,8,263,0,14,0,56,1,15,1,8
inventory-management,com.inventory.service.validation,ProductValidationService,13,336,17,61,1,78,18,31,1,9
inventory-management,com.inventory.exception,ResourceNotFoundException,0,23,0,0,0,4,0,2,0,2
inventory-management,com.inventory.exception,GlobalExceptionHandler,0,241,1,1,0,73,1,10,0,10
inventory-management,com.inventory.exception,SKUException,0,82,0,0,0,12,0,6,0,6
inventory-management,com.inventory.exception,ProductException,0,98,0,0,0,16,0,8,0,8
inventory-management,com.inventory,InventoryManagementApplication,0,8,0,0,0,3,0,2,0,2
inventory-management,com.inventory.mapper,ProductMapper,5,58,1,3,1,17,1,5,0,4
inventory-management,com.inventory.model,Category,0,39,0,0,0,8,0,9,0,9
inventory-management,com.inventory.model,SKU,0,45,0,0,0,8,0,13,0,13
inventory-management,com.inventory.model,Product,0,43,0,0,0,8,0,11,0,11
inventory-management,com.inventory.controller,CategoryController,0,41,0,0,0,7,0,6,0,6
inventory-management,com.inventory.controller,ProductController,0,43,0,0,0,7,0,6,0,6
inventory-management,com.inventory.controller,SKUController,0,42,0,0,0,7,0,6,0,6
inventory-management,com.inventory.dto.response,ErrorResponse,61,219,26,22,0,8,27,15,6,12
inventory-management,com.inventory.dto.response,SKUResponse.SKUResponseBuilder,18,63,0,0,0,1,1,10,1,10
inventory-management,com.inventory.dto.response,SKUResponse,50,336,34,36,0,12,27,31,1,22
inventory-management,com.inventory.dto.response,ProductResponse.ProductResponseBuilder,14,49,0,0,0,1,1,8,1,8
inventory-management,com.inventory.dto.response,ProductResponse,31,252,23,25,0,10,18,25,0,19
inventory-management,com.inventory.dto.response,ErrorResponse.ErrorResponseBuilder,14,49,0,0,0,1,1,8,1,8
inventory-management,com.inventory.dto.response,CategoryResponse.CategoryResponseBuilder,8,28,0,0,0,1,1,5,1,5
inventory-management,com.inventory.dto.response,CategoryResponse,14,140,10,14,0,7,8,17,0,13
